stem,freq,word0,freq,word1,freq,word2,freq,word3,freq,word4,freq,word5,freq,word6,freq,word7,freq,word8,freq,word9,freq,word10,freq,word11,freq,word12,freq
མནན་ན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐུབ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫས་སྦྱོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སེང་དར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གུང་གསེང,45,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་འདོད་པ་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་ཉན,7,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོ་ཕྱུགས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཉིན་གཅིག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ལ་གང་འཚམས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མཆོད་སྟོན་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
“མང་ཁ་ཉུང་ལེན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤང་སྟེང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོམ་སྤངས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྲིན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཧ་མ་གོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུ་མ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱོ་བྲག་དགའ་དབང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐབས་དེར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཡོང་ང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ནོར་འཁྲུལ་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་གོས་པ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གྲངས་མེད་པ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྨ་ཁ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
་ཁ་ཟས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་བྱིན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གྱེས་པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-རྒྱུ་མཚན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྐང་གསུམ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
༽ཁ་ཟོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡེ་མི་འདུག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསེ་ཚང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཐུང་ཆུ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་བཟས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མཆོག་དམན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕོ་འགྱུར,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་སྒྲུབ་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཤའ་མ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབུགས་དག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱ་གར་,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཅོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞུག,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བློ་འདྲི,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འབར,15,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་འདྲ་བ,38,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡི་ཤུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གསོ་ཚགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞེངས་ཚུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བདག་ཅག,7,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕེལ་རྒྱས,79,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐེབས་པ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྱིང་བ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཇོ་བོ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲན,154,,,,,,,,,,,,,,,,,,,,,,,,,,
བདག་བལྟ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཡོལ་ཐབས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རག་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
སྙིང་རྗེ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
པུ༽,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྩོད་འཐབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དཔལ་ལྡན,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཝུ་ཆང་འཐུང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ས་ཐམས་ཅད་?,4,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤོང་,16,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་འདེམ་ན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ལེགས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ལ་དུག་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུ་མེད་མཁན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྲོག་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྡུས་བ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
གནས་བསྡད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུད་རྟ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབུགས་འབྱིན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྱི་མེད,3,,,,,,,,,,,,,,,,,,,,,,,,,,
འཛིན་ཁྲི་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱོན་ཆ,14,,,,,,,,,,,,,,,,,,,,,,,,,,
དཔེ་ཇེ་འཁྱགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤོག་ལྷེ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྔགས་ཀྱི་ཐེག་པ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྲལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གླང་པོ་ཆེ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བཤད་ན,312,,,,,,,,,,,,,,,,,,,,,,,,,,
ག་གས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
དགྱེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་ལེན་འཕྲུལ་ཆས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཅིག་ཆོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤྲོ་འཆམ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཁ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གནང་པ,12,,,,,,,,,,,,,,,,,,,,,,,,,,
-ལགས་འོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དམ་པོ,16,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕལ་ཆེར་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དངོས་བསྟན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སང་ག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གནས་ངན་ལེན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦྱིག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱེས་དམན,8,,,,,,,,,,,,,,,,,,,,,,,,,,
-རྡོ་ལགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚད་མཐོ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚོ་ཆེན་+པོ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྨྲ་སྒོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྡེབས་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིད་ཆད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཉམ་མྱོང,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མཉམ་བསྲེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
“ཆེ་ས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རིམ་བཞིན,24,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཨ་རི,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞི་བས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཁན་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོར་གཅིག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་འདུག་པ,7,,,,,,,,,,,,,,,,,,,,,,,,,,
གཉལ་སྟོད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁོལ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱོང་བ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱོང་བྱེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤིང་ཟོམ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚིག་འཇུག་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འདི་འེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤུན་པགས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཞན་པ,9,,,,,,,,,,,,,,,,,,,,,,,,,,
གནངས་ཉིན་ཀ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
་་་་་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གླང་པོ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འབྲི་ཚུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱ་སེ་མེ་ཏོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མེ་ཏོག་རྫོང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འབྲེལ་ཐག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟོ་ལུགས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
༨༠,3,,,,,,,,,,,,,,,,,,,,,,,,,,
འཛོམས་ས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
གློ་སྙིང་མཆིན་གསུམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ངག་གི་ལས་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
དགེ,13,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡ་མེད,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གཅིག་གཉིས,22,,,,,,,,,,,,,,,,,,,,,,,,,,
རེདཁ་ཏོན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦི་རག,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡོན་བདག,9,,,,,,,,,,,,,,,,,,,,,,,,,,
གཤིབ་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་དགོས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་རྗེ་ས་པཎ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལེན་པ་+པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྔོན་ཕུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྒྲུབས་ཀྱོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡན་ཆད་,14,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་ཁོམ་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤིང་ངར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ཡང,166,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀྲ་ཤིས་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤྱི་མཚུངས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དམིགས་པ་མཚུངས་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྩམ་པ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིན་དུས,187,,,,,,,,,,,,,,,,,,,,,,,,,,
ས་ཐམས་ཅད་?+པ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒས་པ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟད་བྱེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབང་ཕྱུག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སེམས་ཤེས་པ་,9,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚམས་སྟན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁང,12,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུའི་དབང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མངོན་ལྐོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
-གསེར་རྟ་བླ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
༥༽,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཕན་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་ཎི,24,,,,,,,,,,,,,,,,,,,,,,,,,,
ཨ་ཅག,156,,,,,,,,,,,,,,,,,,,,,,,,,,
011ལོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཉམ་འདྲེས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ལན་འགན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚན་བཟང་པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དགོན)བཞི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲན་བརྟེན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལོས་བཤད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཛད་པ་འཕྲིན་ལས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་འདྲི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་གསབ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
སཾ་བྷོ་ཊའི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཇོ་ཤཱཀྱ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྙམ་བསྡད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་མངོན་པ་+པ་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
སྔོ་ཚལ,12,,,,,,,,,,,,,,,,,,,,,,,,,,
“རྒད་པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་འགྲིག,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ལག་གཡོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མགར་ཐར,18,,,,,,,,,,,,,,,,,,,,,,,,,,
དགེ་བསྙེན་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གདུང,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་ཤེས་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟློས་བུ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྲེ་བརྫིས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འགོང་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འདྲ་མིན་སྣ་ཚོགས,23,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་གོས་,30,,,,,,,,,,,,,,,,,,,,,,,,,,
དགོངས་དག,21,,,,,,,,,,,,,,,,,,,,,,,,,,
ནོན་པ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚམས་མེད་པ་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
དྭ་ཕྲུག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
”ལྟ་བུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྟེང་,35,,,,,,,,,,,,,,,,,,,,,,,,,,
གཙང་ཁུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཞབས་རྟེན་ཁང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལལགས་སོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུ་ལ,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཞིང་ཁམས,6,,,,,,,,,,,,,,,,,,,,,,,,,,
-གཞན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལས་རྒྱུན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་ཚང་ན,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚེས་གྲངས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཇང,3,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མི་སྙན་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བཅར,23,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟོ་ཐལ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ངེས་པའི་ཚིག་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གདུང་རྒྱུད,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དགའ་གདོང་གྲྭ་ཚང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕར་སྦྱོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཐུ་ཕུན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རི་དྭགས,28,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་མིན་པ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
མཁས་ཤོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རེ་འགའ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིད་གཉིས་,9,,,,,,,,,,,,,,,,,,,,,,,,,,
རླུང་འཕྲིན,4,,,,,,,,,,,,,,,,,,,,,,,,,,
འདྲིམ་?,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚེ་རིང་བ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤེས་རབ་གྲགས་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱུར་བུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲངས་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀུན་འཛོམས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ལོན་མཁན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྟོད་བསྔགས,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐུགས་བསྐྱེད,10,,,,,,,,,,,,,,,,,,,,,,,,,,
མིཨ་ཅག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མེ་བསྲེགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚོ་སྔོན་ཞིང་ཆེན,7,,,,,,,,,,,,,,,,,,,,,,,,,,
གླིང་ག,5,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་འགྲིག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
