stem,freq,word0,freq,word1,freq,word2,freq,word3,freq,word4,freq,word5,freq,word6,freq,word7,freq,word8,freq,word9,freq,word10,freq,word11,freq,word12,freq
དེའི་སྐོར་ལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དངོས་བྱུང,8,,,,,,,,,,,,,,,,,,,,,,,,,,
-རྟོགས་བརྗོད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མང་ཉུང,13,,,,,,,,,,,,,,,,,,,,,,,,,,
སྨན་པ,50,,,,,,,,,,,,,,,,,,,,,,,,,,
ལས་རུང་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
དགོངས,10,,,,,,,,,,,,,,,,,,,,,,,,,,
བཅུ་གསུམ),1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྡི་ལེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦྱོར་བ་,119,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟོ་ན,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཧང་སང་བ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤྱིར,42,,,,,,,,,,,,,,,,,,,,,,,,,,
མུན་ཛ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
དང“,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱུག་ན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འབྲིང་ཐ་གསུམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀུ་ཅོ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤུདྡྷཿསརྦ་?,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993ལོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀོད་པ་པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཙུག་ལག་ཁང,34,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁྱག་ཟ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིན,2216,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིན་ནས,27,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀི,28,,,,,,,,,,,,,,,,,,,,,,,,,,
བླང་དོར,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོམ་རྐུན་པ་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རྟོགས་པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྩེ་གདུང,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བསུན་ཕྱུང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ས་ཡུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་བཅངས་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དམྱལ་བ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐེ་ཚོམ,15,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚིག་གྲུབ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་སུབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲོངས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ར་འཇུག་,5,,,,,,,,,,,,,,,,,,,,,,,,,,
སུག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རླུང་འཇུག་པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལེགས་གསོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟུག་གཟེར,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤ་འདྲ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གྱེས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
མེ་སྦར,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རིག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གཡས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐད་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁྲུལ་གཞི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལེགས་ཆ,7,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ལ་བརྟེན་བྱས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཆམ,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕུན་སུམ་ཚོགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འབག་གཙོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རེད་བཨ་ཅག,3,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཚིག,3,,,,,,,,,,,,,,,,,,,,,,,,,,
-དཔེ་ཡག་པོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
༡༩༨༤,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ལྟ་བུ,57,,,,,,,,,,,,,,,,,,,,,,,,,,
བཏོན་ཡ,10,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་ཟིན་ཙམ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དུས་སྟོད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རིང་ལུགས་པ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤོག་ཐོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རེད”,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིན་ན་རེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐེབས་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རབ་སྒང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱིས་པའི,6,,,,,,,,,,,,,,,,,,,,,,,,,,
གཉེན་སྟོན,5,,,,,,,,,,,,,,,,,,,,,,,,,,
བོད་ཡུལ,13,,,,,,,,,,,,,,,,,,,,,,,,,,
དབུལ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྡམས་དུས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རེདཨ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟེ་མོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤློ་ཀ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ང་ས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དག་ལས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བདུན་ཚར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
༧ཁོང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟོས་,10,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱབ་ཁོངས,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20.ཕྱི་རྒྱལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གད་རྙིགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མིག་དཔེར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཏམ་,19,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚམས་མཚས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐུགས་དགོངས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡལ་ག,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆང་བཏུང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལོངས་སུ་སྤྱད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཐུངས་,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕོ་སར,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོ་ཕྱེས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡང་མོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡུག་གཅིག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱང་ཆུབ་སེམས་དཔའ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྒྲིམས་,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ནར་མ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐོབ་བ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐུ་འབུམ་དགོན,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གཙང་ཤོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་བཤུས་ན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚེ་འདས,17,,,,,,,,,,,,,,,,,,,,,,,,,,
བསོད་ནམས་དཔལ་འཛོམས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རེད་དཁ་ཏོན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤྲ་མི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སུམ་ཅུ་སོ་ལྔ,13,,,,,,,,,,,,,,,,,,,,,,,,,,
གཏེར,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འདུ་,8,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྟན་པོ,38,,,,,,,,,,,,,,,,,,,,,,,,,,
་རྒྱུ་མཚན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མདའ་མཁན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱན་ཆ,14,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོལ་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
འབེལ་བ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྱོག་ཀྱོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཉམས་མྱོང,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྷད་མེད་པ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་མང,28,,,,,,,,,,,,,,,,,,,,,,,,,,
རལ་བ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མདེའུ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚྭ་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཞུང་བཞེས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རེག་པ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྐོག་གྱུར,14,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦལ་ཁ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དམ་སེལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གསུང་རབ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆད་མེད་པ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟོ་ཐ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལུས་པ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
དངོས་སུ,6,,,,,,,,,,,,,,,,,,,,,,,,,,
སྙན་པར་སྨྲ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལས་ངན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞག་ནས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཏོགས་པ,22,,,,,,,,,,,,,,,,,,,,,,,,,,
མིག་ཟུང,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གྲོགས་གཅེས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཏུད་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟླ་ཆང,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྣམ་གྲངས,42,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྟོ་རྒྱབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གཏུག,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཧ་ཅང་,14,,,,,,,,,,,,,,,,,,,,,,,,,,
གཤེད་མ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྨིན་མ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
-གནས་སྐབས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དངུལ་ཁང,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྡེབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གཅིག་ལྕོགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱེད་འགོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆུ་ཤུགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གསུར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྣོད་ཀྱི་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕར་བསྒྱུར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཐོར,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་ཉིན,6,,,,,,,,,,,,,,,,,,,,,,,,,,
གུ་ཡངས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡར་སྔོན,6,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟླ༩,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དགེ་བཤེས་མ་ཡོང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྷས་བྱིན་,8,,,,,,,,,,,,,,,,,,,,,,,,,,
བསམ་སོང,20,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀང་བ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤིན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-དེ་བཞིན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྲུང་དབྱང་སྒྲིག་ཨུད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བློ་ཁོག,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤ་མོ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩལ,15,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོགས་གསོག་སྒྲིབ་སྦྱོང,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫོགས་པའི་སངས་རྒྱས་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
(སྐྲག་སྣང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྨ,28,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་དབང་བ་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྟན་སྲུང་ཚེ་རིང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚངས་པས་བྱིན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་ཀྱི་ཕུང་པོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རིག་པ་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
དབུས་ཆས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ངོ་ལོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འཚམ་འདྲི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྲན་ཆུང་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྱོགས་མཐུན་,27,,,,,,,,,,,,,,,,,,,,,,,,,,
གཞུ་ཤིང,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྲོ་ལམ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
“ལྭ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསམ་གཞིག,6,,,,,,,,,,,,,,,,,,,,,,,,,,
དགུང་ན་མ་སོན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དུ་ཡོད་+པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁོར་བ,60,,,,,,,,,,,,,,,,,,,,,,,,,,
-སྐྱབས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བས,33,པས,6,བས,27,,,,,,,,,,,,,,,,,,,,,,
མི་འཇིག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྟན་སྲིད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཁས་དབང,44,,,,,,,,,,,,,,,,,,,,,,,,,,
གླེང་གཞི་ཅན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མིའུ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫོགས་པའི་བྱང་ཆུབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐོབ་,41,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁྲབ་དུས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
bank,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་སྐྱེས་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མགྱོགས་སེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་གཞི་ནས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
-བླུག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁོ,975,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཉོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚིག་བདག་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བགོ་ས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤེས་ཉན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐོགས་ནས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-སྐྱེ་བ་སྔོན་མ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མེ་འབུད,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆེ་ན,5,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སླེབས་ཙམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦྱོར་,18,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤུ་འཇམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲུབ་ཕུག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སོབ་པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སོང་ན,109,,,,,,,,,,,,,,,,,,,,,,,,,,
ངར་མ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོང་འབྲེལ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟུང་བ་,11,,,,,,,,,,,,,,,,,,,,,,,,,,
རིགས་འདྲ་མི་འདྲ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྡད་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱིམ་བདག་མ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤུག་གསེབ་བཀའ་བརྒྱུད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལས་དབང་+པོ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབབ་པ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
མཛའ་བརྩེ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐུ་སྒེར,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བོས་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིག་སྐད,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱད་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གསལ་བརྟན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འདྲེན་སྟངས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྲོ་འདུག་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཡཡཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-འཁྱེར་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྐྱར་གླེང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཙང་ཤོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོས,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཞུ་ས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱི་ཁྲ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-བཟོ་མཁན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲོ་གཏུམ,12,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྐྲུན་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཆིག་འཁོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྡིགས་སྨོད,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྩེ་བ,17,,,,,,,,,,,,,,,,,,,,,,,,,,
འགག་སྒོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དཔྱད་བུ་ཁྲི་ཤེས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩོམ་ཉན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཅོམ་ལྡད་འདས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོང,18,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་རང,33,,,,,,,,,,,,,,,,,,,,,,,,,,
གསུངས་ན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟངས་?,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟིན་མ་ཟིན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁེབས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
གོ་རིམ,37,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲགས་པ,10,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒལ་པ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀོ་དཀར,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བགོར་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སོ་དཀར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚྭ,38,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲི་ཡི་སྐྱེ་མཆེད,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མཛུབ་ཁྲིད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟུགས་,159,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྲུན་གྱིན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རིགས་ཐ་དད་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དངུལ་ཆུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཇིག་རྟེན་,74,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྟན་བདེ་སྐྱིད,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐེག་པ་ཆེན་པོ,10,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟའ་ལྷག་པ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤ,59,,,,,,,,,,,,,,,,,,,,,,,,,,
ལ་སྐུད་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མགྱོགས་ཤོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དགོས་བས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡུལ་སྐོར་བ,9,,,,,,,,,,,,,,,,,,,,,,,,,,
རླུང་གི་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤེས་དགོས,5,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀུམ་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤ་ཟ་བ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱ་མི,27,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་འཐོར་དགུ་འཐོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་བསྟོད་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྣམ་རྒྱལ་གྲྭ་ཚང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
doubleརྩེས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སེལ་སྟངས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོང་རྫས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྔ་བཞི་རིག་གནས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྗེས་སུ་དཔག་པ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱེ་སྟངས,6,,,,,,,,,,,,,,,,,,,,,,,,,,
ཅི་སྟེ་,10,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞུགས་ཚུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚན་གང་ཚང,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ལས་མི་,17,,,,,,,,,,,,,,,,,,,,,,,,,,
རོལ་པའི་རྡོ་རྗེ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆང་ཕབས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སེམས་,270,,,,,,,,,,,,,,,,,,,,,,,,,,
འོ་རུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གནས་སྤར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྱིང་འབོབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལམ་གྱི་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཉོན་སྒྲིབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཞིབ་འཇུག,159,,,,,,,,,,,,,,,,,,,,,,,,,,
སྡུག་པ,13,,,,,,,,,,,,,,,,,,,,,,,,,,
མར་ཕྱོགས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྣ་འབུགས་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒུག་དགོས་ག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འདུག་བས,10,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱབ་པ་མ་བྱུང,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀླུམ་རོའི་ཡ་སུམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡར་ཡར,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་གཉེར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མགོ་མཚུངས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕུལ་དུས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
-དེ་ག་རང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་རག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྟོབས་ཤུགས,12,,,,,,,,,,,,,,,,,,,,,,,,,,
དང་སེམས་,14,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦྱང་མིན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ས་པཎ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལབ་ལབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ཅི,17,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྱེས་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འོན་ཀྱང,73,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲོ་བ་,16,,,,,,,,,,,,,,,,,,,,,,,,,,
དམར་པོ,58,,,,,,,,,,,,,,,,,,,,,,,,,,
རིལ་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡ་རབས,13,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲུ་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
གླ་ཡ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རུས་ཐང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕེན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཟླ་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦོར་མཁན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱེད་དགོས་པ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་གིས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩ་བའི་ཁོ་དོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སེན་མོ་,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡེ་ཤེས་འབེབས་སྔགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚུལ་དང་མཐུན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
